question,ground_truth_answer
"Chiến dịch Hồ Chí Minh (30-4-1975) thắng lợi được quyết định bởi yếu tố lãnh đạo nào của ĐCSVN?","Chiến dịch Hồ Chí Minh 1975 kết thúc thắng lợi bằng nhờ sự lãnh đạo đúng đắn, dũng cảm của Đảng Cộng sản Việt Nam. Đảng đã tập trung lực lượng toàn quân toàn dân, dùng chiến thuật đột phá táo bạo và quyết đoán. Lãnh đạo cấp cao của Đảng quyết định thời điểm và phương châm tác chiến (tiến nhanh, giải phóng nhanh Sài Gòn), đồng thời huy động nhân dân ủng hộ. Nhờ vậy, chỉ sau 55 ngày đêm, Sài Gòn hoàn toàn giải phóng, đất nước thống nhất."
"Cuộc Tổng tuyển cử bầu Quốc hội chung năm 1976 do ĐCSVN lãnh đạo đã diễn ra như thế nào và có ý nghĩa gì?","Sau thống nhất đất nước, Đảng đã lãnh đạo việc tổ chức bầu cử Quốc hội chung vào tháng 4/1976. Tổng tuyển cử diễn ra ở cả hai miền: gần 24 triệu người đi bầu (tỷ lệ cử tri đi bầu 98,77%):contentReference[oaicite:4]{index=4}, kết quả bầu được 492 đại biểu tham gia Quốc hội chung đầu tiên. Sự kiện này hoàn thiện việc hợp nhất chính quyền về mặt nhà nước, khẳng định chế độ mới thống nhất, và tạo cơ sở pháp lý để thực hiện bước phát triển tiếp theo của đất nước."
"Sau thống nhất năm 1975, các chủ trương lớn của ĐCSVN về tổ chức thống nhất chính quyền và xây dựng CNXH ở miền Bắc và miền Nam gồm những gì?","Ngay sau năm 1975, Đảng thống nhất ba cấp chính quyền (nhà nước) và thành lập Mặt trận Tổ quốc Việt Nam chung (9/1975) để đoàn kết xây dựng. Hội nghị TW8 (8/1975) đề ra nhiệm vụ: miền Bắc tiếp tục đi lên CNXH, miền Nam tiến hành cải tạo CNXH dần dần. Đảng cũng tổ chức thành công Tổng tuyển cử Quốc hội chung năm 1976 để hợp nhất về pháp lý. Thông qua đó, Đảng chỉ đạo xây dựng CNXH ở miền Bắc và tiến hành các bước cải tạo ở miền Nam, nhằm sớm hợp nhất kinh tế - xã hội trên cả nước."
"Giai đoạn sau thống nhất (1975-1986) đất nước gặp khó khăn lớn nào và ĐCSVN đã xác định nhiệm vụ hàng đầu ra sao?","Sau thống nhất, Việt Nam phải đối mặt với rất nhiều khó khăn: kinh tế kiệt quệ do chiến tranh, thiên tai; lạm phát cao (giấy bạc mất giá), sản xuất đình đốn; Mỹ cấm vận, cô lập quốc tế; tình trạng khan hiếm lương thực, vật liệu. Trước tình hình đó, Đảng xác định nhiệm vụ hàng đầu là ổn định kinh tế, đảm bảo lương thực, từng bước khắc phục hậu quả chiến tranh, củng cố chính sách an sinh xã hội và xây dựng nền tảng vật chất cho CNXH. Đảng cũng kiên định mục tiêu CNXH nhưng phải cải cách chính sách, từ đó chuẩn bị tiền đề cho công cuộc Đổi mới."
"Đại hội VI (1986) của ĐCSVN có những quyết định quan trọng nào về đường lối kinh tế và chính trị?","Đại hội VI năm 1986 là bước ngoặt đổi mới toàn diện. Đảng quyết định chuyển sang kinh tế thị trường định hướng XHCN: khuyến khích kinh tế nhiều thành phần, thương mại đa dạng, mở cửa kinh tế; nhấn mạnh giải phóng mọi nguồn lực sản xuất để phát triển nhanh hơn. Về chính trị, Đại hội VI yêu cầu cải cách bộ máy nhà nước, giảm mạnh thủ tục hành chính, tăng cường dân chủ trong Đảng và xã hội. Đại hội khẳng định phát triển nhanh sản xuất gắn với ổn định chính trị. Những quyết định này đã đặt nền móng cho công cuộc Đổi mới đất nước."
"Những thành tựu kinh tế - xã hội lớn nhất của Việt Nam sau hơn 30 năm đổi mới (1986-2018) là gì?","Sau hơn 30 năm Đổi mới, Việt Nam đạt được nhiều thành tựu to lớn: tăng trưởng kinh tế duy trì ở mức cao, xuất khẩu liên tục tăng; cơ cấu nền kinh tế chuyển dịch rõ rệt, phát triển đa dạng thành phần kinh tế. Tỷ lệ hộ nghèo giảm nhanh, đời sống nhân dân được cải thiện. Đặc biệt, lạm phát được kiểm soát, không còn lạm phát phi mã như trước. Nhiều chỉ tiêu phát triển (như GDP, xuất khẩu, giáo dục, y tế) tăng gấp nhiều lần so với trước Đổi mới. Việt Nam đã duy trì hòa bình, ổn định xã hội và nâng cao vị thế trên trường quốc tế."
"ĐCSVN đã lãnh đạo Việt Nam hội nhập quốc tế như thế nào từ sau đổi mới?","Đảng đã chọn đường lối mở cửa và hội nhập. Việt Nam tham gia ASEAN (1995), APEC, ký Hiệp định WTO (2007), đẩy mạnh quan hệ với hàng trăm nước khác. ĐCSVN lãnh đạo công cuộc đàm phán và ký kết nhiều hiệp định thương mại song phương và đa phương (FTA), chuyển đổi nền kinh tế theo chiều hướng hội nhập; đồng thời bảo vệ quyền lợi quốc gia trong hội nhập. Kết quả là Việt Nam trở thành thành viên chủ chốt của ASEAN, tham gia nhiều diễn đàn quốc tế, thu hút đầu tư nước ngoài tăng mạnh dưới sự bảo lãnh chính trị của Đảng."
"Trong Cương lĩnh 1991, xã hội XHCN Việt Nam được nêu có 6 đặc trưng nào cơ bản?","Cương lĩnh 1991 xác định 6 đặc trưng cơ bản của xã hội chủ nghĩa ở Việt Nam: (1) Nhà nước và xã hội do nhân dân lao động làm chủ; (2) có nền kinh tế phát triển cao, lực lượng sản xuất hiện đại và chế độ công hữu chủ yếu; (3) có nền văn hóa tiên tiến, đậm đà bản sắc dân tộc; (4) con người được giải phóng khỏi áp bức, được phát triển toàn diện về vật chất và tinh thần; (5) các dân tộc bình đẳng, đoàn kết xây dựng và bảo vệ đất nước; (6) có quan hệ hữu nghị, hợp tác với nhân dân các nước trên thế giới. Đây là mục tiêu mà Việt Nam phấn đấu khi xây dựng CNXH."
"Trong Cương lĩnh 1991, 7 phương hướng lớn xây dựng xã hội chủ nghĩa ở Việt Nam là gì?","Cương lĩnh 1991 đề ra 7 phương hướng lớn: (1) xây dựng Nhà nước của dân, do dân, vì dân theo định hướng XHCN; (2) phát triển lực lượng sản xuất, công nghiệp hóa hiện đại hóa nông nghiệp và cả nước; (3) đa dạng hóa sở hữu, phát triển kinh tế hàng hóa nhiều thành phần theo định hướng XHCN; (4) xây dựng nền văn hóa tiên tiến, đậm đà bản sắc dân tộc; (5) tăng cường khối đại đoàn kết toàn dân; (6) giữ vững an ninh, quốc phòng, xây dựng một nền quốc phòng toàn dân; (7) tăng cường hợp tác và hội nhập quốc tế, xây dựng mối quan hệ hữu nghị với nhân dân thế giới. Các phương hướng này xác định nhiệm vụ cơ bản để đưa đất nước tiến lên XHCN."
"Trong Cương lĩnh bổ sung 2011, ĐCSVN định nghĩa xã hội chủ nghĩa Việt Nam và mục tiêu quốc gia dân giàu, nước mạnh như thế nào?","Cương lĩnh bổ sung 2011 định nghĩa xã hội chủ nghĩa Việt Nam là “một xã hội dân giàu, nước mạnh, dân chủ, công bằng, văn minh” do nhân dân làm chủ. Mục tiêu chiến lược của đất nước được đặt ra là phấn đấu đến giữa thế kỷ XXI trở thành một nước công nghiệp hiện đại. Đảng nhấn mạnh xây dựng xã hội trong đó nhân dân có mức sống cao hơn, khoa học - công nghệ tiên tiến, pháp luật nghiêm minh và văn hóa phát triển. Quan điểm này khẳng định hướng đi cơ bản của Đảng trong mục tiêu phát triển lâu dài."
"Tại sao ĐCSVN lấy chủ nghĩa Mác-Lênin và tư tưởng Hồ Chí Minh làm nền tảng tư tưởng, kim chỉ nam cho hành động?","Đảng CSVN xác định chủ nghĩa Mác-Lênin và tư tưởng Hồ Chí Minh là nền tảng tư tưởng, kim chỉ nam cho hành động vì hai lý do: (1) Chủ nghĩa Mác-Lênin là học thuyết khoa học cao nhất về cách mạng vô sản, cung cấp lý luận và phương pháp luận giúp Đảng nhận thức đúng quy luật lịch sử và đưa ra đường lối, chính sách đúng đắn trong mọi thời kỳ; (2) Tư tưởng Hồ Chí Minh kế thừa, bổ sung phù hợp với hoàn cảnh Việt Nam, là hiện thân của con đường cứu nước độc đáo, phát huy truyền thống yêu nước Việt Nam gắn với tinh thần thời đại. Kết hợp hai nền tảng này giúp Đảng vận dụng đúng đắn, sáng tạo trong lãnh đạo cách mạng Việt Nam."
"Cho ví dụ cách ĐCSVN vận dụng chủ nghĩa Mác-Lênin vào phong trào công nhân và yêu nước ở Việt Nam.","Đảng đã vận dụng chủ nghĩa Mác-Lênin để xác định con đường cách mạng cho Việt Nam. Ví dụ, Đảng kết hợp đấu tranh giải phóng dân tộc với đấu tranh giai cấp công nhân; trong Luận cương 1930, Đảng đề ra chiến lược lật đổ đế quốc và phong kiến, giải phóng giai cấp nông dân, phù hợp với hoàn cảnh Đông Dương. Nguyễn Ái Quốc đã dùng báo Thanh Niên để tuyên truyền học thuyết Mác-Lênin vào phong trào thanh niên Việt Nam (từ 1925), chuẩn bị tư tưởng và cơ sở tổ chức cho cách mạng sau này:contentReference[oaicite:5]{index=5}. Đây là ví dụ sáng tạo Mác-Lênin trong hoàn cảnh Việt Nam."
